id,titulo,ano,nota
172,Gran Torino,(2008),9.2
173,My Neighbor Totoro,(1988),9.2
174,Catch Me If You Can,(2002),9.2
175,Million Dollar Baby,(2004),9.2
176,Children of Heaven,(1997),9.2
177,Blade Runner,(1982),9.2
178,The Gold Rush,(1925),9.2
179,Klaus,(2019),9.2
180,Harry Potter and the Deathly Hallows: Part 2,(2011),9.2
181,Before Sunrise,(1995),9.2
182,12 Years a Slave,(2013),9.2
183,On the Waterfront,(1954),9.2
184,Ben-Hur,(1959),9.2
185,The Grand Budapest Hotel,(2014),9.2
186,Gone Girl,(2014),9.2
187,Wild Strawberries,(1957),9.2
188,The General,(1926),9.2
189,Barry Lyndon,(1975),9.2
190,In the Name of the Father,(1993),9.2
191,The Deer Hunter,(1978),9.2
192,The Third Man,(1949),9.2
193,Hacksaw Ridge,(2016),9.2
194,The Wages of Fear,(1953),9.2
195,Memories of Murder,(2003),9.2
196,Sherlock Jr.,(1924),9.2
197,Wild Tales,(2014),9.2
198,Mr. Smith Goes to Washington,(1939),9.2
199,Mad Max: Fury Road,(2015),9.2
200,Mary and Max,(2009),9.2
201,The Seventh Seal,(1957),9.2
202,How to Train Your Dragon,(2010),9.2
203,"Monsters, Inc.",(2001),9.2
204,Dead Poets Society,(1989),9.2
205,Jaws,(1975),9.2
206,Room,(2015),9.2
207,The Big Lebowski,(1998),9.2
208,Tokyo Story,(1953),9.2
209,The Passion of Joan of Arc,(1928),9.2
210,Ford v Ferrari,(2019),9.2
211,Hotel Rwanda,(2004),9.2
212,Rocky,(1976),9.2
213,Platoon,(1986),9.2
214,Ratatouille,(2007),9.2
215,Spotlight,(2015),9.2
216,Logan,(2017),9.2
217,The Terminator,(1984),9.2
218,Stand by Me,(1986),9.2
219,Rush,(2013),9.2
220,Network,(1976),9.2
221,Before Sunset,(2004),9.2
222,Into the Wild,(2007),9.2
223,The Wizard of Oz,(1939),9.2
224,The Best Years of Our Lives,(1946),9.2
225,Groundhog Day,(1993),9.2
226,The Exorcist,(1973),9.2
227,The Incredibles,(2004),9.2
228,La haine,(1995),9.2
229,To Be or Not to Be,(1942),9.2
230,Pather Panchali,(1955),9.2
231,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),9.2
232,The Grapes of Wrath,(1940),9.2
233,Hachi: A Dog's Tale,(2009),9.2
234,The Battle of Algiers,(1966),9.2
235,Jai Bhim,(2021),9.2
236,My Father and My Son,(2005),9.2
237,Amores Perros,(2000),9.2
238,Rebecca,(1940),9.2
239,Cool Hand Luke,(1967),9.2
240,The Handmaiden,(2016),9.2
241,The 400 Blows,(1959),9.2
242,The Sound of Music,(1965),9.2
243,It Happened One Night,(1934),9.2
244,Persona,(1966),9.2
245,Life of Brian,(1979),9.2
246,The Iron Giant,(1999),9.2
247,The Help,(2011),9.2
248,Dersu Uzala,(1975),9.2
249,Aladdin,(1992),9.2
250,Dances with Wolves,(1990),9.2
